year,lab,harvest,scl_h,food_mt,total_landings,total_food
1986,Wild fisheries,78584921,64439635.220000006,51315086.0602542,86144986,52836710.89214633
1987,Mariculture: animals,4328780,4328780,1335690.0921716003,87124156,52787199.11090772
1987,Mariculture: plants,3719785,3719785,371978.5,87124156,52787199.11090772
1987,Wild fisheries,79075591,64841984.620000005,51079530.51873612,87124156,52787199.11090772
1988,Mariculture: animals,4868834,4868834,1509052.7423570075,91582114,55411827.23799071
1988,Mariculture: plants,4229095,4229095,422909.5,91582114,55411827.23799071
1988,Wild fisheries,82484185,67637031.7,53479864.9956337,91582114,55411827.23799071
1989,Mariculture: animals,5018348,5018348,1583724.2523375074,92670504,55789122.282693096
1989,Mariculture: plants,4647404,4647404,464740.4,92670504,55789122.282693096
1989,Wild fisheries,83004752,68063896.64,53740657.63035559,92670504,55789122.282693096
1990,Mariculture: animals,5392147,5392147,1802797.8773204435,88743471,53320283.76020877
1990,Mariculture: plants,4194964,4194964,419496.4,88743471,53320283.76020877
1990,Wild fisheries,79156360,64908215.2,51097989.482888326,88743471,53320283.76020877
1991,Mariculture: animals,5795009,5795009,1937834.439924949,89314492,52835508.655214675
1991,Mariculture: plants,5205868,5205868,520586.80000000005,89314492,52835508.655214675
1991,Wild fisheries,78313615,64217164.300000004,50377087.41528972,89314492,52835508.655214675
1992,Mariculture: animals,6488601,6488601,2017534.9439740977,93096686,53716014.820253514
1992,Mariculture: plants,6670858,6670858,667085.8,93096686,53716014.820253514
1992,Wild fisheries,79937227,65548526.14000001,51031394.07627942,93096686,53716014.820253514
1993,Mariculture: animals,7663201,7663201,2274748.630615743,96472522,54847518.88896332
1993,Mariculture: plants,7727000,7727000,772700,96472522,54847518.88896332
1993,Wild fisheries,81082321,66487503.220000006,51800070.25834758,96472522,54847518.88896332
1994,Mariculture: animals,8985357,8985357,2619156.6146658505,103603995,58732678.52934304
1994,Mariculture: plants,8073356,8073356,807335.6000000001,103603995,58732678.52934304
1994,Wild fisheries,86545282,70967131.24000001,55306186.31467719,103603995,58732678.52934304
1995,Mariculture: animals,10753331,10753331,3055531.5280571515,104888350,58523275.25516708
1995,Mariculture: plants,7983066,7983066,798306.6,104888350,58523275.25516708
1995,Wild fisheries,86151953,70644601.46000001,54669437.12710993,104888350,58523275.25516708
1996,Mariculture: animals,11190797,11190797,3271092.1273622476,107331403,59865069.950491816
1996,Mariculture: plants,8557612,8557612,855761.2000000001,107331403,59865069.950491816
1996,Wild fisheries,87582994,71818055.08,55738216.62312957,107331403,59865069.950491816
1997,Mariculture: animals,11072628,11072628,3384732.044681818,106326922,58989528.4775021
1997,Mariculture: plants,8270754,8270754,827075.4,106326922,58989528.4775021
1997,Wild fisheries,86983540,71326502.80000001,54777721.032820284,106326922,58989528.4775021
1998,Mariculture: animals,11695860,11695860,3627701.7356108096,100052162,54129741.53777966
1998,Mariculture: plants,9314754,9314754,931475.4,100052162,54129741.53777966
1998,Wild fisheries,79041548,64814069.36000001,49570564.40216885,100052162,54129741.53777966
1999,Mariculture: animals,12758935,12758935,3955346.1018865258,107591599,57923004.776643485
1999,Mariculture: plants,10274179,10274179,1027417.9000000001,107591599,57923004.776643485
1999,Wild fisheries,84558485,69337957.7,52940240.77475696,107591599,57923004.776643485
2000,Mariculture: animals,13626216,13626216,4313062.9170867065,110287760,59276655.76977184
2000,Mariculture: plants,10595246,10595246,1059524.6,110287760,59276655.76977184
2000,Wild fisheries,86066298,70574364.36,53904068.25268513,110287760,59276655.76977184
2001,Mariculture: animals,14730584.4,14730584.4,4798752.2548245285,108983404.4,58185115.28050605
2001,Mariculture: plants,10943389,10943389,1094338.9000000001,108983404.4,58185115.28050605
2001,Wild fisheries,83309431,68313733.42,52292024.12568153,108983404.4,58185115.28050605
2002,Mariculture: animals,15618344.76,15618344.76,5075318.049564452,111271266.76,58941233.08447978
2002,Mariculture: plants,11885629,11885629,1188562.9,111271266.76,58941233.08447978
2002,Wild fisheries,83767293,68689180.26,52677352.13491533,111271266.76,58941233.08447978
2003,Mariculture: animals,16457110.1,16457110.1,5385713.475116495,109854202.1,57274377.955030255
2003,Mariculture: plants,12598391,12598391,1259839.1,109854202.1,57274377.955030255
2003,Wild fisheries,80798701,66254934.82000001,50628825.37991376,109854202.1,57274377.955030255
